#PACKET TRACE:


Data for Plotting
time  	 pkt_length  
0.0	48
0.15297232421	46
0.727676087623	52
0.961218863908	60
1.76934326086	40
1.89263996221	59
2.12985632155	59
2.51412180531	59
3.50607758319	59
4.22382702327	59
4.84263203489	59
5.34592539955	59
6.16557297741	47
6.98937894333	48
7.02941679338	48
7.87279623106	48
8.69135821518	48
9.24580569919	48
9.86294105937	48
10.2462536344	48
10.3356215951	52
11.084148696	52
11.8390243759	52
11.9335060572	52
12.5550992366	52
12.6133675108	52
13.2748431607	52
13.4748431607	57
13.6232142325	55
13.7323731042	44
14.3493621784	53
14.9797438614	63
15.4076537515	58
15.4980449945	58
15.8256249883	58
16.0132393475	58
16.7512444697	58
17.0284526223	58
17.805043905	58
18.4359173283	38
19.1678395483	53
19.6788797823	41
20.2551682654	57
21.044149619	57
21.0598518239	57
21.9625265338	57
22.0307654273	57
22.1037123859	57
22.1221734117	57
22.2509279768	50
23.123886252	45
23.5673960255	45
24.3607864503	45
25.2253800799	45
25.5772571178	45
26.0742439141	45
26.3325473638	45
26.4774977527	63
27.0902040267	63
27.1091978835	63
27.5906068694	63
28.5327814655	63
29.1931075638	63
29.8933268143	63
30.0933268143	38
30.1100714038	54
31.0798246611	55
31.7453406636	55
32.4667195694	55
32.9431450534	55
33.3218951996	55
34.2587254421	55
34.5456377087	55
35.0510824517	42
35.9327001989	42
36.7799347824	42
37.2246321365	42
37.4415414085	42
37.4716667515	42
37.6358096735	42
38.0587892149	41
38.6029490078	54
39.5019892788	54
39.9462441989	54
40.2072751059	54
40.2231886151	54
41.0323117911	54
41.0687328297	54
41.1687328297	57
41.8079935559	50
42.3349786541	46
42.7113594663	46
43.0222857592	46
43.8146209808	46
44.0599541825	46
44.6694546436	46
45.0496469728	46
45.9726738076	56
46.9278633493	56
47.0086815003	56
47.4363141752	56
47.4875445849	56
48.4680210681	56
48.6381060897	56
48.7381060897	46
49.7309543741	49
49.9028178128	53
50.0046463326	53
50.4569621995	53
51.3987179934	53
52.1390443043	53
52.434318262	53
52.4444264726	53
52.7584852011	52
53.5944377537	49
54.5556113995	49
55.2622070944	49
55.3591118619	48
55.718557325	51
56.3033706698	38
57.280702447	50
58.2054328877	53
58.421024569	50
58.9248723356	44
59.2493143485	49
59.7411432821	44
59.9186765609	37
60.5410133055	45
61.1954767807	55
61.2362143753	50
62.2137425678	56
62.7449312917	53
62.9909543573	49
63.5075845457	62
63.7107317752	67
64.4123252833	67
64.8063839315	67
65.1519011113	67
65.7557439118	67
65.7602203327	67
66.3902480655	67
67.2728432615	45
68.032016855	53
68.3153081132	44
69.0091628145	41
69.7713826358	41
69.9256446416	41
70.8175917935	41
71.3758794983	41
71.6476125686	41
72.3720064474	41
72.4147030472	55
72.8439547312	43
73.4859806931	47
73.8273666713	38
74.2224372239	38
75.2209316164	38
76.1324597907	38
76.7589509016	38
76.8249076995	38
77.7990523919	38
77.9135004638	59
78.4879860125	44
78.8706910837	44
79.8230230161	44
80.5505451196	44
81.3814332415	44
81.7300977076	44
82.3119991099	44
82.3820515455	49
83.1852719323	49
83.4803669821	49
83.7292838568	49
84.1313041524	49
84.7712945998	49
85.7263865862	49
85.9263865862	50
86.2266552781	54
87.2033022959	43
87.8429974969	43
88.2348835433	43
88.2493859548	43
88.6977218393	43
89.0424644065	43
89.8317836275	43
90.7206871323	43
91.0872341285	51
91.8288416563	45
91.9846690947	56
92.5411667355	59
92.6267118877	55
92.8808993183	54
93.4790880479	54
93.5387331167	54
93.8338399216	54
94.6280157338	54
94.7457224646	54
95.6383122606	54
96.1337173279	51
97.0308978257	51
97.235293361	51
97.8953662102	51
98.1287196492	51
98.2392436172	51
98.795085894	51
99.0115582335	46
99.2132464056	58
99.5308855114	56
99.8660996521	63
99.9748927366	63
100.759603206	63
101.48937256	63
102.384439604	63
102.564222554	63
102.677379656	63
103.536815157	49
103.841498064	58
104.213618517	51
104.284994765	37
105.14196701	37
105.698863217	37
106.329336703	37
106.43743723	37
107.431697222	37
108.305109514	37
108.305109514	39
109.039533973	59
109.620582427	54
109.755105096	48
109.810582568	41
110.518886469	47
111.43589269	47
111.74772461	47
111.823865193	47
112.615280728	47
113.610469777	47
114.534463112	47
114.581868424	40
115.339399839	50
115.918641959	50
116.066759698	50
116.238520459	50
116.314701715	50
116.619570673	50
116.856537216	50
117.784755312	57
117.995928242	57
118.307057115	57
118.734411591	57
119.599555113	57
120.404167874	57
120.681709256	57
120.881709256	49
121.758271426	52
122.70314436	47
123.01587493	47
123.516904312	47
124.122898304	47
124.867194232	47
125.618194572	47
126.01774916	47
126.942171259	50
127.634080957	41
128.311240443	41
129.056974702	41
130.035475495	41
130.498434896	41
130.661628468	41
130.900699957	41
131.000699957	50
131.382773469	40
131.814693919	56
132.219988457	56
132.574514015	56
133.015991683	56
133.755669742	56
134.058744076	56
134.118984157	56
134.158999671	59
134.601604693	59
135.401727666	59
136.143892401	59
136.239345546	59
136.993984616	59
137.013782153	59
137.598653342	49
138.223653085	49
138.285128755	49
139.116436535	49
139.983113121	49
140.162863726	49
141.154911509	49
141.254911509	48
141.367722827	51
142.345057516	36
142.870127846	36
143.338946972	36
144.266926974	36
144.766613329	36
145.669942206	36
146.27871234	36
146.27871234	43
146.789672334	61
146.902408631	41
147.682825762	41
148.533141046	41
149.087107903	41
149.673258685	41
150.074472675	41
151.001726717	41
151.001726717	48
151.458679655	40
152.051219776	33
152.542228065	33
152.858044331	33
153.080026116	33
154.055443347	33
154.978820918	33
155.047366793	33
155.466349205	59
156.026009272	59
156.907629536	59
157.419188917	59
158.303829604	59
159.195925674	59
159.936276684	59
160.036276684	55
160.545140433	33
161.080256797	53
161.955102332	53
161.961797447	53
162.642407375	53
163.340843484	53
163.845354654	53
164.472225838	53
164.649341381	63
165.60102075	63
166.231721965	63
166.482576903	63
166.912432676	63
167.854627658	63
168.423930087	63
168.523930087	42
169.125269635	48
169.634690782	52
169.981308965	56
170.68944208	34
171.014795368	50
171.338629162	61
171.516748959	64
171.518428593	47
171.688683663	49
172.543226756	47
172.95757443	42
173.218096016	42
173.794430531	42
174.754314223	42
175.432839549	42
176.086597253	42
176.417497145	42
177.09479237	47
177.283432257	47
178.254209277	47
178.4582089	47
179.1137113	47
179.494513112	47
180.455988971	47
180.555988971	42
180.947763276	49
181.762401967	49
182.112117612	49
183.004967627	49
183.125348082	49
183.673903107	49
184.286765166	49
185.158154262	49
185.600559069	39
186.174268985	43
186.536495237	50
187.338990021	50
187.864060875	51
188.658936547	43
188.909125575	57
189.142587877	47
189.85661154	47
190.075545779	47
190.568564485	47
